Year,Rank,Precinct,Turnout,Registered_Voters,Ballots_Cast
2024,1,KETTERING 03-J,86.80,773,671
2024,2,KETTERING 03-C,86.46,916,792
2024,3,PERRY TOWNSHIP A,86.42,692,598
2024,4,PERRY TOWNSHIP A,86.42,692,598
2024,5,WASHINGTON TOWNSHIP H,85.70,944,809
2024,6,WASHINGTON TOWNSHIP F,85.37,704,601
2024,7,WASHINGTON TOWNSHIP Z,85.20,892,760
2024,8,WASHINGTON TOWNSHIP A,85.12,914,778
2024,9,BUTLER TOWNSHIP E,85.04,702,597
2024,10,BUTLER TOWNSHIP F,84.71,811,687
2025,1,CLAYTON 01-A,52.03,715,372
2025,2,CLAYTON 01-A,52.03,715,372
2025,3,KETTERING 03-J,46.69,756,353
2025,4,OAKWOOD F,46.30,1041,482
2025,5,OAKWOOD B,45.11,962,434
2025,6,OAKWOOD D,43.24,814,352
2025,7,OAKWOOD G,42.97,896,385
2025,8,KETTERING 04-G,42.52,1157,492
2025,9,OAKWOOD E,41.99,874,367
2025,10,OAKWOOD C,41.64,843,351
