Precinct,Shannon Weldon,Petition No Filed Valid,Write-in Totals,Write-in: Joy Cassidy Erika-,Christopher Write-in: Hall B.,Steven Zbinden Write-in: M.,Write-in: VALID NOT 1,Write-in: VALID NOT 2,Write-in: Assigned Not,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 3-C,240,0,24,8,0,9,6,1,0,264,0,658,922
DAY 3-G,0,0,0,0,0,0,0,0,0,0,0,0,0
DAY 3-I,276,0,101,75,3,17,6,0,0,377,0,709,1086
DAY 3-L,272,0,118,95,3,13,6,1,0,390,0,724,1114
HUB 1-A,257,0,81,37,3,25,14,2,0,338,0,634,972
HUB 1-B,373,0,103,62,3,27,10,1,0,476,0,918,1394
HUB 1-C,258,0,21,10,1,2,7,1,0,279,0,531,810
HUB 1-D,343,0,75,48,0,21,6,0,0,418,0,770,1188
HUB 2-A,347,0,33,12,1,7,12,1,0,380,0,730,1110
HUB 2-B,343,0,60,23,1,24,11,1,0,403,0,809,1212
HUB 3-A,233,0,73,47,2,11,12,1,0,306,0,508,814
HUB 3-B,170,0,57,43,3,3,8,0,0,227,0,369,596
HUB 3-C,207,0,90,65,2,16,7,0,0,297,0,465,762
HUB 3-D,331,0,45,12,4,16,13,0,0,376,0,688,1064
HUB 3-E,222,0,27,12,3,5,7,0,0,249,0,537,786
HUB 4-A,302,0,39,29,1,7,2,0,0,341,0,659,1000
HUB 4-B,291,0,56,41,1,13,1,0,0,347,0,653,1000
HUB 4-C,288,0,54,28,3,15,7,1,0,342,0,628,970
HUB 4-D,307,0,65,43,1,7,12,2,0,372,0,610,982
HUB 5-A,279,0,35,17,0,9,9,0,0,314,0,562,876
HUB 5-B,292,0,29,11,0,12,3,3,0,321,0,547,868
HUB 5-C,292,0,26,15,3,6,2,0,0,318,0,640,958
HUB 5-D,292,0,37,17,2,10,8,0,0,329,0,551,880
HUB 6-A,256,0,40,20,1,7,12,0,0,296,0,552,848
HUB 6-B,359,0,101,54,4,27,16,0,0,460,0,774,1234
HUB 6-C,339,0,87,47,4,26,9,1,0,426,0,688,1114
HUB 6-D,281,0,66,25,0,34,7,0,0,347,0,619,966
RV-B,15,0,1,0,0,0,1,0,0,16,0,28,44
RV-K,0,0,0,0,0,0,0,0,0,0,0,0,0
