Precinct,Petition No Filed Valid,Write-in Totals,Write-in: VALID NOT 2,Write-in: Gibson Michele Lori,Write-in: M. Novesl Keith,Write-in: VALID NOT 1,Write-in: Assigned Not,Total Votes Cast,Overvotes,Undervotes,Contest Total
KT 3-I,0,0,0,0,0,0,0,0,0,6,6
MIATWP-B,0,9,2,0,0,7,0,9,0,789,798
MIATWP-G,0,13,1,1,1,10,0,13,0,785,798
MIATWP-H,0,23,5,2,1,15,0,23,0,805,828
MIATWP-L,0,18,2,6,4,6,0,18,0,808,826
MIATWP-N,0,3,0,0,0,3,0,3,0,285,288
MIATWP-O,0,18,3,3,1,11,0,18,0,1062,1080
MIATWP-R,0,7,0,1,2,4,0,7,0,495,502
MIATWP-U,0,10,0,3,3,4,0,10,0,716,726
MOR 1-A,0,0,0,0,0,0,0,0,0,174,174
MOR 2-A,0,19,3,2,0,14,0,19,0,793,812
MOR 3-A,0,19,1,6,0,12,0,19,0,579,598
MOR 4-A,0,13,1,0,0,12,0,13,0,513,526
MOR 4-B,0,6,2,0,0,4,0,6,0,392,398
WCR-A,0,25,4,6,1,14,0,25,0,793,818
WCR-B,0,20,3,3,2,12,0,20,0,932,952
WCR-C,0,25,1,3,3,18,0,25,0,929,954
WCR-D,0,22,1,5,6,10,0,22,0,996,1018
WCR-E,0,17,3,3,2,9,0,17,0,525,542
WCR-F,0,8,0,2,2,4,0,8,0,638,646
WCR-G,0,12,1,3,2,6,0,12,0,934,946
WCR-H,0,14,4,1,2,7,0,14,0,818,832
WCR-I,0,13,5,0,0,8,0,13,0,479,492
