Precinct,REP Steven Beachler E.,REP Colvin Ryan,REP Nestor Jeff,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 1-A,279,334,315,928,0,989,1917
MBG 1-B,221,241,300,762,0,855,1617
MBG 1-C,257,309,299,865,0,773,1638
MBG 2-A,138,162,166,466,0,710,1176
MBG 2-B,188,200,234,622,0,779,1401
MBG 2-C,254,289,264,807,0,891,1698
MBG 3-A,170,187,185,542,0,586,1128
MBG 3-B,252,283,276,811,0,911,1722
MBG 3-C,186,206,205,597,0,609,1206
MBG 3-D,247,305,278,830,0,883,1713
MBG 4-A,220,248,237,705,0,819,1524
MBG 4-B,207,253,226,686,0,742,1428
MBG 4-C,186,222,201,609,0,627,1236
MBG 4-D,321,392,380,1093,0,1160,2253
